health_plan_id,month_date,total_eligible_members,avg_member_age,medicare_aged_members,utilizing_members,total_claims,total_unique_drugs,total_days_supply,total_quantity,total_drug_spend,plan_paid_amount,patient_paid_amount,utilization_rate,pmpm_total_spend,new_members,termed_members,male_members,female_members,pediatric_members,adult_members,unique_zip_codes,total_approved_ingredient_cost,total_calculated_ingredient_cost,total_payable_ingredient_cost,total_submitted_ingredient_cost,total_awp_cost,total_submitted_fee,total_acquisition_cost,total_approved_fee,total_calculated_fee,total_pmpm_all_months,rolling_3month_spend,rolling_3month_pmpm,prior_year_spend,prior_year_utilizing_members,mom_spend_change,mom_membership_change_pct
100_1000001_10011845,2023-01-01,2262,28,51,649,1608,1570,61226,93838.25,170262.11,144684.6,25577.51,0.29,75.27,12,310,1029,1233,538,1673,1165,167414.21,167363.26,167414.21,497451.14,501251.95,6527.49,205696.43,2469.9,2462.9,111.37,170262.11,75.27,0,0,0,0
100_1000001_10011845,2023-02-01,2045,28,47,557,1263,1246,48335,74820.45,101409.74,84067.31,17342.43,0.27,49.59,4,329,939,1106,488,1510,1058,99286.69,99286.69,99286.69,353530.07,354014.72,3950.26,124450.87,1943.05,1943.05,111.37,135835.93,62.43,0,0,-68852.37,-9.6
100_1000001_10011845,2023-03-01,1773,28,43,496,1195,1166,45692,74364.8,152539.42,135012.37,17527.05,0.28,86.03,8,351,821,952,420,1310,915,150425.42,150425.42,150425.42,402687.5,401627.83,2930.33,181556.26,1854,1854,111.37,141403.76,70.3,0,0,51129.68,-13.3
100_1000001_10011845,2023-04-01,1449,28,35,382,882,867,38147,59131.1,113436.37,100670.47,12765.9,0.26,78.29,4,323,669,780,340,1074,757,112016.52,112016.52,112016.52,319171.33,322072.2,3533.76,135787.47,1359.85,1359.85,111.37,122461.84,71.3,0,0,-39103.05,-18.3
100_1000001_10011845,2023-05-01,1148,29,30,297,702,682,28907,46062.3,72048.65,61030.13,11018.52,0.26,62.76,13,552,544,604,266,852,604,70885.35,70885.35,70885.35,208316.6,207796.72,2393.7,87542.04,1103.3,1103.3,111.37,112674.81,75.69,0,0,-41387.72,-20.8
100_1000001_10011845,2023-06-01,617,29,18,158,372,361,14187,22745.5,55482.1,47987.27,7494.83,0.26,89.92,0,616,315,302,147,452,336,54866.95,54866.95,54866.95,133288.62,133060.93,1228.09,65388.4,555.15,555.15,111.37,80322.37,76.99,0,0,-16566.55,-46.3
100_1000001_10011845,2023-07-01,7711,30,188,2246,5239,5150,236752,336907.48,741024.27,624586.79,116437.48,0.29,96.1,7710,371,3575,4136,2036,5487,3108,732378.22,732171.48,732378.22,2045308.15,2040111.91,13382.87,870574.74,8306.05,8271.05,111.37,289518.34,82.93,0,0,685542.17,1149.8
100_1000001_10011845,2023-08-01,7551,30,192,2348,5874,5712,272494,397665.08,869111.63,740356.51,128755.12,0.31,115.1,20,347,3507,4044,1991,5368,3021,859072.28,858903.27,859072.28,2407204.55,2379990.63,16028.97,1023366.94,9347.35,9312.35,111.37,555206,100.37,0,0,128087.36,-2.1
100_1000001_10011845,2023-09-01,7367,30,191,2192,5425,5333,231910,350619.23,814622.25,700892.07,113730.18,0.3,110.58,27,376,3415,3952,1951,5225,2928,799455.1,799380.24,799455.1,2155616.98,2128681.46,16449.77,942091.16,8572.15,8558.15,111.37,808252.72,107.26,0,0,-54489.38,-2.4
100_1000001_10011845,2023-10-01,7121,31,189,2379,5836,5725,237151,345204.98,929303.27,810461.31,118841.96,0.33,130.5,6,324,3307,3814,1899,5033,2812,904205.52,903964.84,904205.52,2279241.39,2251408.38,16330,1050765.36,9070.75,9021.75,111.37,871012.38,118.73,0,0,114681.02,-3.3
100_1000001_10011845,2023-11-01,6952,31,177,2297,5663,5576,240292,350051.16,846236.2,738183.43,108052.77,0.33,121.73,30,292,3226,3726,1856,4919,2730,828260.8,828166.38,828260.8,2170052.75,2142533.97,16769.96,974664.65,8879.2,8865.2,111.37,863387.24,120.94,0,0,-83067.07,-2.4
100_1000001_10011845,2023-12-01,6795,31,172,2083,5119,5034,221100,319800.1,846246.99,756868.18,89378.81,0.31,124.54,14,326,3160,3635,1828,4795,2636,835298.61,835146.48,835298.61,2139518.95,2113633.5,15258.55,968947.63,8273.85,8245.85,111.37,873928.82,125.59,0,0,10.79,-2.3
100_1000001_10011845,2024-01-01,6548,31,163,2176,5410,5292,236595,359161.02,888467.74,804190.53,84277.21,0.33,135.69,11,369,3038,3510,1756,4629,2522,877779.29,877335.75,877779.29,2193389.44,2186911.5,21659.3,1030155.17,8720.8,8650.8,111.37,860316.98,127.32,170262.11,649,42220.75,-3.6
100_1000001_10011845,2024-02-01,6296,31,155,1933,4456,4389,199944,286582.9,704748.81,641647.39,63101.42,0.31,111.94,7,296,2892,3404,1690,4451,2407,697113.61,697067.14,697113.61,1806718.4,1802888.45,12272.02,815089.11,7077.2,7070.2,111.37,813154.51,124.06,101409.74,557,-183718.93,-3.8
100_1000001_10011845,2024-03-01,6100,31,155,1948,4806,4703,216545,327533.14,812700.12,744431.58,68268.54,0.32,133.23,5,323,2801,3299,1644,4301,2304,804171.27,804011.76,804171.27,2077845.18,2042325.67,19905.16,933979.32,7730.85,7709.85,111.37,801972.22,126.95,152539.42,496,107951.31,-3.1
100_1000001_10011845,2024-04-01,5866,31,153,1839,4521,4439,209745,302537.96,833427.54,772603.99,60823.55,0.31,142.08,22,355,2693,3173,1585,4128,2184,825824.37,825718.5,825824.37,2073793.04,2032585.2,14640.68,956935.57,7162.8,7136.8,111.37,783625.49,129.08,113436.37,382,20727.42,-3.8
100_1000001_10011845,2024-05-01,5590,31,143,1774,4341,4256,196448,270423.83,747414.47,689760.38,57654.09,0.32,133.71,3,320,2574,3016,1525,3922,2048,739983.97,739797.99,739983.97,1827531.93,1805814.84,13882.45,863091.89,7030.5,7002.5,111.37,797847.38,136.34,72048.65,297,-86013.07,-4.7
100_1000001_10011845,2024-06-01,5329,31,126,1576,3735,3679,175852,257078.28,641472.39,594242.42,47229.97,0.3,120.37,4,5329,2462,2867,1470,3733,1913,634914.24,634869.29,634914.24,1658375.82,1644768.1,19518.73,740244.45,6038.15,6031.15,111.37,740771.47,132.05,55482.1,158,-105942.08,-4.7
100_1000001_10011845,2024-07-01,24010,31,466,7473,17819,17394,785847,1224605.44,3071959.56,2722561.87,349397.69,0.31,127.95,24010,312,10931,13079,6311,17233,8624,3042532.21,3041559.11,3042532.21,7767055.76,7710582.92,24814.57,3622631.53,27603.85,27512.85,111.37,1486948.81,127.34,741024.27,2246,2430487.17,350.6
100_1000001_10011845,2024-08-01,24034,31,472,7504,17820,17450,780940,1187828.75,3279877.41,2930005.18,349872.23,0.31,136.47,46,406,10944,13090,6291,17271,8627,3249170.26,3248227.53,3249170.26,8011861.9,7895176.07,46204.86,3789989.38,27846,27762,111.37,2331103.12,128.26,869111.63,2348,207917.85,0.1
100_1000001_10011845,2024-09-01,23981,31,483,7481,17760,17489,746336,1134534.96,2989075.84,2659966.74,329109.1,0.31,124.64,69,287,10923,13058,6284,17214,8577,2934313.78,2933682.82,2934313.78,7569926.09,7476540.13,57196.77,3474113.59,27745.95,27679.95,111.37,3113637.6,129.69,814622.25,2192,-290801.57,-0.2
100_1000001_10011845,2024-10-01,24042,31,478,8204,19604,19202,806861,1259491.12,3477308.94,3133227.94,344081,0.34,144.63,69,316,10952,13090,6299,17265,8581,3406831.63,3406064.33,3406831.63,8352587.95,8180952.5,64871.28,3947406.62,30081.05,29992.05,111.37,3248754.06,135.25,929303.27,2379,488233.1,0.3
100_1000001_10011845,2024-11-01,24066,31,479,7840,18241,17957,749311,1157840.2,2971412.68,2651923.23,319489.45,0.33,123.47,81,236,10946,13120,6272,17315,8592,2917366.38,2916681.43,2917366.38,7547547.63,7391712.36,50495.35,3447974.24,28441.55,28361.55,111.37,3145932.49,130.91,846236.2,2297,-505896.26,0.1
